autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
CG Boost,Sculpt a Realistic Head in Blender #b3d #tutorial,https://www.youtube.com/watch?v=BPAvvF8py1M,3D Modeling & Sculpting (3D Modeling & Sculpting),521288,2024-08-09,54:13,3253,33.71,-85.19,68.11,,
Blender Guru,Starting Blender? Advice from a Pro,https://www.youtube.com/watch?v=-rO1o5uzCOc,"Beginner Guides (Beginner Guides, Geometry Nodes)",513205,2025-08-09,08:02,482,-22.05,31.54,48.71,,
Blender,Intro to Shading - Blender 2.80 Fundamentals,https://www.youtube.com/watch?v=RRilLLyyn1Y,"Beginner Guides (Beginner Guides, Shading, Texturing & UVs)",499584,2019-08-11,04:37,277,51.69,45.02,83.06,,
sorry stacy,Creating a 3D character in Blender - Turnaround & Modelling Tutorial,https://www.youtube.com/watch?v=qO3D7LuV3Ys,3D Modeling & Sculpting (3D Modeling & Sculpting),499063,2025-08-09,29:08,1748,46.09,-98.6,33.91,,
BlenderVitals,Create a Character Rig in Blender in 1 Minute!,https://www.youtube.com/watch?v=_zKnaVeSYhk,Character Rigging (Character Rigging),491420,2024-08-09,00:59,59,-55.91,-44.32,9.14,,
Blender Guru,Beginner Blender 4.0 Tutorial - Part 12: Animation,https://www.youtube.com/watch?v=4-tCn4-GfM4,"Beginner Guides (Beginner Guides, 3D Animation & Motion)",489410,2024-08-09,16:21,981,-34.47,10.04,-13.32,,
Josh - Blender Bros,BEGINNERS Guide to Rendering in Blender (it's really simple),https://www.youtube.com/watch?v=APmw2Q8kBOM,Cycles & EEVEE Rendering (Cycles & EEVEE Rendering),485443,2023-08-10,08:08,488,97.2,6.31,-89.21,,
CBaileyFilm,Beginner Modelling Tutorial Blender,https://www.youtube.com/watch?v=SVl_tlbGrh4,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",474064,2024-08-09,23:05,1385,91.68,34.38,4.77,,
Ducky 3D,Satisfying Geometry Nodes Animation (Blender Tutorial),https://www.youtube.com/watch?v=NyUJ6XH8A94,"Geometry Nodes (Geometry Nodes, Shading, Texturing & UVs, 3D Animation & Motion)",471883,2022-08-10,13:04,784,-101.9,62.67,48.28,,
Blender Secrets,The easiest modeling technique? Blender Secrets,https://www.youtube.com/watch?v=13UN1Lju5Hs,3D Modeling & Sculpting (3D Modeling & Sculpting),466303,2025-08-09,00:46,46,49.14,-112.49,55.52,,
richstubbsanimation,Amazingly EASY Way To Rig Characters in Blender 4.1,https://www.youtube.com/watch?v=jIwrswJEFBQ,Character Rigging (Character Rigging),458491,2024-08-09,06:57,417,-52.26,-53.06,11.85,,
FlippedNormals,Learn to Sculpt in Blender - Quick Start Guide,https://www.youtube.com/watch?v=Cmi0KoFtc-4,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",456620,2021-08-10,27:27,1647,88.02,50.89,17.36,,
SharpWind,How to Animate ANYTHING in Blender!,https://www.youtube.com/watch?v=JQT9sT1YuAI,3D Animation & Motion (3D Animation & Motion),452931,2025-08-09,44:11,2651,-52.85,13.62,-37.29,,
Blender Guru,Blender Basic Modelling Tutorial (Donut Part 2),https://www.youtube.com/watch?v=K1UyEdmSttQ,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",437139,2025-12-12,30:50,1850,88.89,24.51,6.1,,
Farrukh 3D,Easy Sculpting Tutorial - Blender,https://www.youtube.com/watch?v=ijdhJsN2Iiw,3D Modeling & Sculpting (3D Modeling & Sculpting),422799,2022-08-10,18:25,1105,36.75,-102.45,50.38,,
Summer 85,PS1 Style Graphics in Blender / Low Poly Assets Beginner Tutorial - Part 1,https://www.youtube.com/watch?v=5ycmDpYen-4,Beginner Guides (Beginner Guides),415850,2025-08-09,01:42:15,6135,55.44,44.61,7.43,,
Sost cgTeCH,Blender Tutorial: Make Your First 3D Product Animation - Modeling | Part 1,https://www.youtube.com/watch?v=l1TH8kvZiow,"3D Modeling & Sculpting (3D Modeling & Sculpting, 3D Animation & Motion)",414915,2024-08-09,14:59,899,26.78,-71.04,40.34,,
Crashsune Academy,Create a 3D Low Poly Character (even if you've never opened Blender),https://www.youtube.com/watch?v=EQHdi5rX5fs,Beginner Guides (Beginner Guides),414290,2025-08-09,03:57:40,14260,54.63,37.23,-4.8,,
Royal Skies,Blender - Completely Rigging A Character (5 MINUTES!),https://www.youtube.com/watch?v=X590IZeyT1s,Character Rigging (Character Rigging),412052,2022-08-10,04:28,268,-50.92,-47.68,3.57,,
Marble+,"Creative Blender Physics Showcase | Hair Particles, Cloth simulation & Rigid Body Animation!",https://www.youtube.com/watch?v=QJ2oKQrmgYE,"3D Animation & Motion (3D Animation & Motion, Physics & Simulation)",405556,2025-08-09,02:02,122,-53.89,7.39,-56.07,,
3Dnot2D,UV Unwrapping Explained for Beginners | Blender Tutorial,https://www.youtube.com/watch?v=7JUNlj6mR0U,"Shading, Texturing & UVs (Shading, Texturing & UVs)",395114,2023-08-10,22:57,1377,63.76,27.57,102.96,,
Versatile Vertices,Learning BLENDER as a GAME DEV,https://www.youtube.com/watch?v=smluafHtCeY,Beginner Guides (Beginner Guides),393090,2025-08-09,04:46,286,7.92,45.49,-7.5,,
Blender Guru,Blender Tutorial: Geometry Nodes for Beginners - Part 2,https://www.youtube.com/watch?v=V10GBrmYIDM,Geometry Nodes (Geometry Nodes),391041,2022-08-10,13:40,820,-87.38,85.31,56.06,,
Ryan King Art,Texture Paint Metallic Maps and Edge Wear (Blender Tutorial),https://www.youtube.com/watch?v=bR4HtqxA9tk,"Shading, Texturing & UVs (Shading, Texturing & UVs)",377240,2023-08-10,18:45,1125,69.31,36.86,117.89,,
Ryan King Art,Character Rigging for Beginners (Blender Tutorial),https://www.youtube.com/watch?v=mYgznqvbisM,"Beginner Guides (Beginner Guides, Character Rigging)",376007,2022-08-10,52:59,3179,-28.29,-28.52,-2.49,,
