autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
MadMapper The Mapping Software,One Projector Setup,https://www.youtube.com/watch?v=KxZN8VzbX7M,Beginner Guides (Beginner Guides),16274,2025-12-12,28.6,27.49,-42.59
MadMapper The Mapping Software,Content types / MadLaser,https://www.youtube.com/watch?v=kvS8dc8cXVI,Beginner Guides (Beginner Guides),16009,2022-08-10,63.75,-1.6,-51.37
LaserFX -  Laser and Mutlimedia show,MadMapper / MadLaser laser show control software,https://www.youtube.com/watch?v=yXARXuBOa1g,Laser Control & Hardware (Laser Control & Hardware),15600,2022-08-10,-3.97,-94.43,-50.23
MadMapper The Mapping Software,MadMapper 5.1 GPU Particles,https://www.youtube.com/watch?v=bMWPeu5dAT0,Beginner Guides (Beginner Guides),15145,2022-08-10,56.62,-35.63,-32.45
MadMapper The Mapping Software,Create Groups —MADTutorial,https://www.youtube.com/watch?v=eibib5PkLUo,Beginner Guides (Beginner Guides),15085,2017-08-11,64.03,3.67,-22.36
MadMapper The Mapping Software,Connect MadMapper to Pangolin Beyond,https://www.youtube.com/watch?v=LDwDNQtH54k,Laser Control & Hardware (Laser Control & Hardware),14897,2022-08-10,-8.63,-76.12,-66.22
Pangolin Laser Systems,Video mapping and lasers! | Recolor by video in BEYOND,https://www.youtube.com/watch?v=LZSiVvUJsrg,Beginner Guides (Beginner Guides),14780,2022-08-10,41.37,-23.96,3.62
Zunayed Sabbir Ahmed,"MadMapper Complete Introduction – LED, Projection & Display Mapping | VJ Tips",https://www.youtube.com/watch?v=sltcNtI_kGM,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration, LED Strip Pixel Mapping)",14665,2024-08-09,69.26,20.93,39.21
Matthieu Beghin,MadMapper Laser Vectorization & Video Mapping,https://www.youtube.com/watch?v=dE9QR_WEkhU,Laser Control & Hardware (Laser Control & Hardware),14631,2023-08-10,-50.49,-93.97,-62.61
Phillip Andrews,Madmapper_6b.mp4,https://www.youtube.com/watch?v=dmRpFmwHgyc,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",13897,2012-08-12,77.04,-20.53,48.13
VJ Picles,How to Do Projection Mapping Using MadMapper,https://www.youtube.com/watch?v=8Kn7PPMGMfo,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",13822,2025-08-09,67.1,-3.85,50.81
MadMapper The Mapping Software,Materials — MADTutorial Basics,https://www.youtube.com/watch?v=3vGJB-Sqz9g,"Beginner Guides (Beginner Guides, Procedural Shaders & ISF Materials)",13448,2017-08-11,-18.14,43.66,-86.47
MadMapper The Mapping Software,First Time in MadMapper,https://www.youtube.com/watch?v=UTMjqw-CFwI,Beginner Guides (Beginner Guides),13439,2025-12-12,63.86,-15.7,-87.94
MadMapper The Mapping Software,Cues: basics #1 store surfaces parameters — MADTutorial Scenes and Cues,https://www.youtube.com/watch?v=FYKppMIdRRw,Beginner Guides (Beginner Guides),13355,2019-08-11,81.21,-70.8,-104.66
Aoshow led,Aoshowled Tutorial: How to use Madmapper software control DMX512 RGB LED Pixel Tape Strip DC24V,https://www.youtube.com/watch?v=R7J3OCNVysM,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",13343,2020-08-10,-119.82,-26.83,-2.16
Pangolin Laser Systems,How to use Laser Show Converter Blender | Deep Dive Presented by William Benner,https://www.youtube.com/watch?v=Q4ZUhk0KW14,Laser Control & Hardware (Laser Control & Hardware),13257,2023-08-10,-39.96,-75.65,-76.5
LED Strip Studio,LED pixel mapping in MADMapper using ArtNet and SPI Matrix,https://www.youtube.com/watch?v=eRPrwwef1oY,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",13143,2020-08-10,-76.6,-43.53,-2.11
MadMapper The Mapping Software,FX/Effects — MADTutorial Basics,https://www.youtube.com/watch?v=y5l3skuCXf4,"Beginner Guides (Beginner Guides, Procedural Shaders & ISF Materials)",13112,2017-08-11,-6.53,33.15,-97.22
re4ee,How to create AI projection mapping | Tutorial,https://www.youtube.com/watch?v=nxM_yBU43q8,"Beginner Guides (Beginner Guides, Surface Creation & Masking, 3D Projection Mapping & Calibration)",12915,2026-02-10,35.62,-66.02,46.79
Luma Box,Qlab to MadMapper via Syphon Cake Mapping Tutorial (Mac),https://www.youtube.com/watch?v=-XljWaAEeT4,"3D Projection Mapping & Calibration (3D Projection Mapping & Calibration, Syphon, Spout & NDI Video Routing)",12699,2020-08-10,34.86,43.19,57.26
Kat Sullivan,Unreal Engine Tutorial: Spout,https://www.youtube.com/watch?v=d84umxYWqPg,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",12088,2020-08-10,-43.69,61.69,34.05
MIXVIBES,Remixvideo tutorial | Syphon output for mapping & streaming,https://www.youtube.com/watch?v=fubMo8YTTs0,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",11968,2017-08-11,-59.5,65.55,16.44
Aoshow led,Aoshow how to setup Madmapper connection DMX artnet controller work DMX UCS512 RGB LED Pixel Strip,https://www.youtube.com/watch?v=RNyUOOYSc1s,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",11823,2020-08-10,-76.58,-58.94,-30.19
MadMapper The Mapping Software,Connect MadMapper to Capture,https://www.youtube.com/watch?v=MNmAJmin_e0,Laser Control & Hardware (Laser Control & Hardware),11765,2022-08-10,-19.4,-84.7,-87.85
한국미디어아트진흥회,MadMapper Tutorial - Lesson 1. Installing MadMapper and Understanding the UI,https://www.youtube.com/watch?v=0bgCXzqz6OM,Beginner Guides (Beginner Guides),11723,2024-08-09,39.34,-8.26,-79.96
Cristhian Lins,Spacial Scanner - Mad Mapper.,https://www.youtube.com/watch?v=4qILXcqdaPs,Spatial Scanner 3D Reconstruction (Spatial Scanner 3D Reconstruction),11621,2014-08-12,17.92,60.71,-21.53
MadMapper The Mapping Software,MadMapper SpeedMapping Niemeyer,https://www.youtube.com/watch?v=ep0GUaZRO1Y,Beginner Guides (Beginner Guides),11553,2017-08-11,18.46,-26.86,-10.18
MadMapper The Mapping Software,MadMapper 5  How to create your account and import a license,https://www.youtube.com/watch?v=4JIn_o5LxY8,Beginner Guides (Beginner Guides),11289,2022-08-10,61.01,-4.2,-0.91
Benjamin Kuperberg,Spout [Syphon on Windows] After Effects Plugin,https://www.youtube.com/watch?v=sx_QCC0Y2Ww,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",11048,2014-08-12,-33.18,94.48,70.3
LED Pixel Lighting Cathy Zhang,How to do led pixel mapping for rotating led pixel tube with Madrix software?,https://www.youtube.com/watch?v=8tUYNDJfNus,LED Strip Pixel Mapping (LED Strip Pixel Mapping),11036,2024-08-09,-110.09,-11.36,41.34
