autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Chris' Tutorials,2D Top Down Pixel Art RPG Game Dev in Unity 2022  ~ Crash Course Tutorial for Beginners,https://www.youtube.com/watch?v=7iYWpzL9GkM,2D Physics & Movement (2D Physics & Movement),638587,2022-08-10,01:29:52,5392,6.4,91.96,77.72,,
Sebastian Lague,Coding Adventure: Coding a Coding Game,https://www.youtube.com/watch?v=dY6jR52fFWo,C# Programming & Logic (C# Programming & Logic),635846,2019-08-11,04:37,277,98.49,-16.89,-16.86,,
Sebastian Lague,Coding Adventure: Simulating Smoke,https://www.youtube.com/watch?v=Q78wvrQ9xsU,Beginner Guides (Beginner Guides),633149,2025-11-12,41:39,2499,-58.86,-4.26,59.79,,
Sebastian Lague,Introduction to Game Development with Unity and C#,https://www.youtube.com/watch?v=_cCGBMmMOFw,"Beginner Guides (Beginner Guides, C# Programming & Logic)",627432,2016-08-11,00:59,59,1.28,2.35,21.56,,
b cart,I Made a Unity Game with NO EXPERIENCE,https://www.youtube.com/watch?v=9HCTB4aZGTg,Beginner Guides (Beginner Guides),623141,2024-08-09,06:30,390,-71.08,10.71,-25.98,,
Sebastian Lague,Coding Adventure: Software Rasterizer,https://www.youtube.com/watch?v=yyJ-hdISgnw,"C# Programming & Logic (C# Programming & Logic, 3D Physics & Raycasting)",614496,2025-08-09,50:09,3009,95.12,6.04,-5.29,,
spaderdabomb,Build a beautiful 3D open world in 5 minutes | Unity,https://www.youtube.com/watch?v=nCDGjLRecrs,3D Physics & Raycasting (3D Physics & Raycasting),597075,2023-08-10,05:57,357,52.04,102.5,-47.44,,
Unity,The Animator Controller - Unity Official Tutorials,https://www.youtube.com/watch?v=JeZkctmoBPw,Animator & State Machines (Animator & State Machines),582966,2014-08-12,08:29,509,15.42,18.28,70.48,,
Brackeys,BUILD LEVELS QUICKLY in Unity with SNAPS!,https://www.youtube.com/watch?v=b4oqOdBCy3c,3D Physics & Raycasting (3D Physics & Raycasting),559952,2020-08-10,18:12,1092,66.31,89.46,-50.71,,
Rehope Games,Make Your MAIN MENU Quickly! | Unity UI Tutorial For Beginners,https://www.youtube.com/watch?v=DX7HyN7oJjE,UI Canvas & HUD Design (UI Canvas & HUD Design),551029,2023-08-10,10:32,632,18.44,-0.14,-74.25,,
Lost Relic Games,Escaping Unity Animator HELL,https://www.youtube.com/watch?v=nBkiSJ5z-hE,"2D Physics & Movement (2D Physics & Movement, Animator & State Machines)",547191,2021-08-10,18:18,1098,10.89,56.94,66.77,,
Brackeys,100 UNITY TIPS!!! 🔥,https://www.youtube.com/watch?v=thA3zv0IoUM,C# Programming & Logic (C# Programming & Logic),541225,2019-08-11,11:53,713,94.76,-40.93,12.04,,
Code Monkey,Learn C# FREE Tutorial Course Beginner to Advanced! [2026 - 12 HOURS],https://www.youtube.com/watch?v=qZpMX8Re_2Q,Beginner Guides (Beginner Guides),539404,2025-08-09,12:40:35,45635,-11.95,39.88,-81.34,,
Brackeys,MESH GENERATION in Unity - Basics,https://www.youtube.com/watch?v=eJEpeUH1EMg,"Beginner Guides (Beginner Guides, C# Programming & Logic)",495517,2019-08-11,11:10,670,26.09,19.43,25.23,,
Blackthornprod,Learn C# with these 9 LINES OF CODE - Unity Tutorial!,https://www.youtube.com/watch?v=aB9LJ9oHGOs,C# Programming & Logic (C# Programming & Logic),472034,2021-08-10,25:15,1515,77.08,-25.29,31.63,,
Sebastian Lague,Field of view visualisation (E01),https://www.youtube.com/watch?v=rQG9aUWarwE,Beginner Guides (Beginner Guides),458820,2016-08-11,22:31,1351,-118.01,-10.12,-6.0,,
Sebastian Lague,[Unity] Creating a 2D Platformer (E01. set-up),https://www.youtube.com/watch?v=MbWK8bCAU2w,2D Physics & Movement (2D Physics & Movement),455169,2015-08-12,14:11,851,-6.38,84.85,46.14,,
Brackeys,Get started with 2D Shader Graph in Unity - Dissolve Tutorial,https://www.youtube.com/watch?v=5dzGj9k8Qy8,"2D Physics & Movement (2D Physics & Movement, Shader Graph & Shaders)",451101,2020-08-10,16:58,1018,18.67,120.0,57.74,,
Roox,Learning Unity Until I Release A Game On Steam,https://www.youtube.com/watch?v=FiW69KIsQz0,Beginner Guides (Beginner Guides),451076,2026-01-11,08:16,496,-33.93,43.63,-37.45,,
Goodgis,Godot Vs Unity: The Ultimate Game Engine Showdown,https://www.youtube.com/watch?v=MV_TaVM8Huc,Beginner Guides (Beginner Guides),450932,2021-08-10,07:11,431,-83.79,63.33,-19.68,,
Brackeys,OBJECT POOLING in Unity,https://www.youtube.com/watch?v=tdSmKaJvCoA,Beginner Guides (Beginner Guides),446782,2018-08-11,17:23,1043,-70.61,-49.55,-7.7,,
Brackeys,How to make a HIGH SCORE in Unity,https://www.youtube.com/watch?v=vZU51tbgMXk,Beginner Guides (Beginner Guides),435978,2017-08-11,08:47,527,-10.45,4.34,-22.34,,
Gambit,20 Game Dev Tips I Wish I Was Told Earlier,https://www.youtube.com/watch?v=fqb9MfRqK9I,Beginner Guides (Beginner Guides),433773,2025-08-09,08:40,520,-84.13,37.64,-58.77,,
Sebastian Lague,Path Creator (free unity tool),https://www.youtube.com/watch?v=saAQNRSYU9k,Beginner Guides (Beginner Guides),431447,2019-08-11,10:29,629,-53.25,24.58,-91.55,,
iHeartGameDev,How to Animate Characters in Unity 3D | Animation Transitions With Booleans,https://www.youtube.com/watch?v=FF6kezDQZ7s,"Beginner Guides (Beginner Guides, 3D Physics & Raycasting, Animator & State Machines)",426339,2020-08-10,11:59,719,50.41,39.14,48.75,,
AIA,Unity UI Tutorial | An introduction,https://www.youtube.com/watch?v=IuuKUaZQiSU,"Beginner Guides (Beginner Guides, UI Canvas & HUD Design)",416424,2022-08-10,28:21,1701,18.37,-0.75,-106.29,,
Brogrammer,UNITY 3D PLAYER MOVEMENT in 2 MINUTES! FPS Shooter,https://www.youtube.com/watch?v=1uW-GbHrtQc,3D Physics & Raycasting (3D Physics & Raycasting),409987,2023-08-10,02:11,131,43.81,98.79,-25.42,,
