autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
IBM Technology,What is PyTorch? (Machine/Deep Learning),https://www.youtube.com/watch?v=fJ40w_2h8kk,Machine Learning (Machine Learning),78869,2024-08-09,11:57,717,-1.3,60.27,-66.98,,
freeCodeCamp.org,"Claude Code Full Course – Autonomous Goals, MCP, and VS Code Setup",https://www.youtube.com/watch?v=7l6bXLAKyEI,Beginner Guides (Beginner Guides),78017,2026-08-05,01:21:37,4897,61.44,-89.68,-10.14,,
Alpha Brains Courses,Python Object Oriented Programming 🐍- Full Course For Beginners⚡️,https://www.youtube.com/watch?v=xEZkR9BFXOI,"Beginner Guides (Beginner Guides, OOP Programming)",76653,2023-08-10,05:03:55,18235,2.77,-84.6,58.81,,
Corey Schafer,Python FastAPI Tutorial: Full Course for Beginners - Build a Full-Stack Web App,https://www.youtube.com/watch?v=iukOehU5aF4,"Beginner Guides (Beginner Guides, Web Backend)",76340,2026-05-11,14:23:36,51816,-102.64,12.24,7.64,,
NeuralNine,Pandas Full Python Course - Data Science Fundamentals,https://www.youtube.com/watch?v=EhYC02PD_gc,"Beginner Guides (Beginner Guides, Data Science)",76128,2025-08-09,01:06:27,3987,-67.93,52.73,65.53,,
"Kevin Wallace Training, LLC",Fundamentals of Network Automation,https://www.youtube.com/watch?v=K8ptdi-z7ls,Web Scraping & Automation (Web Scraping & Automation),75709,2023-08-10,01:29:58,5398,-52.21,-65.0,-101.77,,
Mukesh otwani,Python Tutorials For Automation Testing | Python For Beginners,https://www.youtube.com/watch?v=LwAwyL9ozDA,Web Scraping & Automation (Web Scraping & Automation),73805,2024-08-09,09:13:26,33206,-37.47,-71.53,-89.64,,
Programming with Mosh,Map and Filter Functions in Python - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=2qKQGqpRsks,Control Flow & Loops (Control Flow & Loops),72493,2019-08-11,05:59,359,-24.75,-14.39,2.26,,
Code with Josh,LSTM Time Series Forecasting with TensorFlow & Python – Step-by-Step Tutorial,https://www.youtube.com/watch?v=94PlBzgeq90,Machine Learning (Machine Learning),71535,2025-08-09,49:52,2992,24.49,38.93,-80.22,,
CodeHead,FastAPI explained in 2 minutes,https://www.youtube.com/watch?v=umbU5Pk03CM,Web Backend (Web Backend),66971,2026-02-10,02:05,125,-68.7,-54.72,35.39,,
Simplilearn,Numpy Full Course 🔥 | Numpy Tutorial | Python Tutorial For Beginners | Python Training | Simplilearn,https://www.youtube.com/watch?v=j31ah5Qa4QI,"Beginner Guides (Beginner Guides, Data Science)",66879,2021-08-10,01:21:53,4913,-30.92,56.16,46.07,,
Keith Galli,Advanced Web Scraping Tutorial! (w/ Python Beautiful Soup Library),https://www.youtube.com/watch?v=DcI_AZqfZVc,Web Scraping & Automation (Web Scraping & Automation),66841,2024-08-09,42:43,2563,-76.69,-65.77,-93.6,,
Corey Schafer,Automating My Bill Payments with Python and Selenium,https://www.youtube.com/watch?v=jNoTEiI2cVU,Web Scraping & Automation (Web Scraping & Automation),61351,2024-08-09,01:18:29,4709,-21.7,-35.34,-69.31,,
Genalytiq,"Complete FastAPI in 5 Hours — Full CRUD, MySQL Database, Auth & Docker (Beginner to Advanced)",https://www.youtube.com/watch?v=PzIF1IAxzaw,"Beginner Guides (Beginner Guides, Data Science, Web Backend)",60632,2026-02-10,04:33:36,16416,-79.3,14.07,47.57,,
CyberFlow,The Best Way to Learn Python (For Hacking),https://www.youtube.com/watch?v=Fxh9X3-hO4Y,Beginner Guides (Beginner Guides),60344,2026-03-12,08:06,486,52.97,-70.63,-40.95,,
sentdex,Object Oriented Programming Introduction - Intermediate Python Programming p.13,https://www.youtube.com/watch?v=ekA6hvk-8H8,"Beginner Guides (Beginner Guides, OOP Programming)",59357,2017-08-11,11:35,695,0.65,-74.66,40.38,,
